casenumber,counts,location,month,offense_desc,reported_date,reporting_officer,statute_code,statute_desc,year,offense_cat,city,lat,lon,neighborhood
2017-00119703,0,136 Knight St,11,Missing Persons,2017-11-13 23:19:00,Central Station,Not Used,No violations,2017,other_crime,Providence,41.8212266,-71.4304511,Ward 13
2017-00119695,1,67 Joslin St,11,"Assault, Simple",2017-11-13 22:37:00,RCriner,11-5-3,SIMPLE ASSAULT/BATTERY,2017,other_crime,Providence,41.8225214,-71.4468425,Olneyville
2017-00119686,1,295 Academy Ave,11,"Larceny, Other",2017-11-13 22:01:00,YGonzalez,11-41-6,ATTEMPTED LARCENY/U $1500 - ALL OTH LARCENY,2017,property_crime,Providence,41.8330097,-71.44413089999999,Elmhurst
2017-00119680,1,250 Cranston St,11,"Assault, Simple",2017-11-13 21:29:00,GSion,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,other_crime,Providence,41.8131354,-71.4278377,West End Providence
2017-00119680,1,250 Cranston St,11,"Larceny, Shoplifting",2017-11-13 21:29:00,GSion,11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,2017,property_crime,Providence,41.8131354,-71.4278377,West End Providence
2017-00119675,0,81 Washington Ave,11,Missing Persons,2017-11-13 21:23:00,Central Station,Not Used,No violations,2017,other_crime,Providence,41.788883,-71.3928617,Washington Park
2017-00119673,1,335 Hartford Ave,11,Robbery,2017-11-13 21:16:00,DHernandez,11-39-1,ROBBERY-1ST DEGREE,2017,property_crime,Providence,41.8180076,-71.4535649,Hartford
2017-00119670,1,49 Grape St,11,Vandalism,2017-11-13 21:04:27,VPazzetta,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,property_crime,Providence,41.8459403,-71.4301736,Wanskuck
2017-00119668,1,150 Elmwood Ave,11,"Larceny, Shoplifting",2017-11-13 20:43:58,MSullivan,11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,2017,property_crime,Providence,41.8089853,-71.42429299999999,
2017-00119667,1,57 Tuxedo Ave,11,Disorderly Conduct,2017-11-13 20:37:00,MRudolph,11-45-1,DISORDERLY CONDUCT,2017,other_crime,Providence,41.8226609,-71.439295,Olneyville
2017-00119665,1,26 Vinton St,11,"Assault, Simple",2017-11-13 20:28:00,TMiller,11-5-3,SIMPLE ASSAULT/BATTERY,2017,other_crime,Providence,41.8232349,-71.42982599999999,Ward 13
2017-00119660,1,11 Eagle St,11,Burglary,2017-11-13 20:18:19,JSalmeron,11-8-1,BURGLARY,2017,property_crime,Providence,41.8271304,-71.4365811,Valley
2017-00119649,1,66 Judith St,11,Burglary,2017-11-13 19:41:00,LMarroquin,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2017,property_crime,Providence,41.812677,-71.445047,Silver Lake
2017-00500228,1,371 Pine St,11,Vandalism,2017-11-13 18:55:28,SPartridge,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,property_crime,Providence,41.8157995,-71.4166939,Upper South Providence
2017-00500227,1,Stewart St ,11,Vandalism,2017-11-13 18:25:54,SPartridge,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,property_crime,Providence,41.8169459,-71.41789229999999,
2017-00500226,1,38 Swift St,11,Larceny from Motor Vehicle,2017-11-13 18:09:45,SPartridge,11-41-1,LARCENY/U $1500 - FROM MV,2017,property_crime,Providence,41.8557982,-71.4128439,Charles
2017-00119619,1,325 Washington St,11,Warrant\Capias,2017-11-13 17:53:00,BMurphy,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,2017,other_crime,Providence,41.8197292,-71.4203694,Ward 13
2017-00119622,1,5 Mountain St,11,"Assault, Simple",2017-11-13 17:53:00,BMurphy,11-5-3,SIMPLE ASSAULT/BATTERY,2017,other_crime,Providence,41.82391459999999,-71.4222525,Ward 13
2017-00119607,1,1264 Elmwood Ave,11,Traffic Violation,2017-11-13 17:15:04,JCotugno,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,other_crime,Providence,41.776867,-71.421111,South Elmwood
2017-00119602,1,167 Valley St,11,Vandalism,2017-11-13 17:05:00,LMarroquin,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,property_crime,Providence,41.8213911,-71.4398951,Olneyville
2017-00119596,1,1 Providence Pl,11,"Larceny, Shoplifting",2017-11-13 16:41:00,ADoucette,11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,2017,property_crime,Providence,41.8283682,-71.4164302,Downtown Providence
2017-00119597,1,40 Rosedale St,11,Burglary,2017-11-13 16:35:00,LPelaez,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2017,property_crime,Providence,41.810319,-71.436748,West End Providence
2017-00500225,1,66 Burnett St,11,"Larceny, Other",2017-11-13 16:27:33,SPartridge,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2017,property_crime,Providence,41.8027471,-71.426908,West End Providence
2017-00119586,0,159 Sackett St,11,Juvenile Matter,2017-11-13 16:07:00,JButen,Not Used,No violations,2017,other_crime,Providence,41.7944378,-71.4188507,Elmwood
2017-00119575,0,105 Abbott St,11,Request for Assistance,2017-11-13 15:43:00,Central Station,Not Used,No violations,2017,other_crime,Providence,41.842692,-71.40380800000001,Mount Hope
2017-00119569,1,223 Oakland Ave,11,"Assault, Simple",2017-11-13 15:31:00,Central Station,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,other_crime,Providence,41.84032,-71.428595,Elmhurst
2017-00119570,1,283 Plainfield St,11,Traffic Violation,2017-11-13 15:29:00,LMarroquin,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,other_crime,Providence,41.81404209999999,-71.4479923,Silver Lake
2017-00119581,1,5 Imera Ave,11,Larceny from Building,2017-11-13 15:23:38,JSalmeron,11-41-1,LARCENY/O $1500 - FROM BLD,2017,property_crime,Providence,41.8288883,-71.4559719,Mount Pleasant
2017-00119563,1,223 Oakland Ave,11,"Assault, Simple",2017-11-13 15:22:00,Central Station,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,other_crime,Providence,41.84032,-71.428595,Elmhurst
2017-00119548,0,15 Peach Ave,11,Juvenile Matter,2017-11-13 14:17:05,WMann,Not Used,No violations,2017,other_crime,Providence,41.8434737,-71.4030361,Mount Hope
2017-00119547,1,60 Providence St,11,"Fraud, Swindle",2017-11-13 14:13:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2017,other_crime,Providence,41.8121709,-71.41652069999999,Upper South Providence
2017-00119545,1,325 Washington St,11,RI Statute Violation,2017-11-13 14:08:00,TRudd,11-37.1-3,SEXUAL OFFENDER REGISTRATION REQUIRED,2017,other_crime,Providence,41.8197292,-71.4203694,Ward 13
2017-00119536,1,50 Weybosset St,11,"Assault, Simple",2017-11-13 13:41:00,Central Station,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,other_crime,Providence,41.8241458,-71.4098637,Downtown Providence
2017-00119526,0,18 Malvern St,11,Larceny Theft,2017-11-13 12:59:00,EBreault,Not Used,No violations,2017,other_crime,Providence,41.85208739999999,-71.41623,Charles
2017-00119523,1,1352 Eddy St,11,RI Statute Violation,2017-11-13 12:46:00,Central Station,11-59-3,VIOLATION OF RESTRAINING ORDER,2017,other_crime,Providence,41.7884412,-71.4024072,Washington Park
2017-00119511,1,145 Magnolia St,11,"Assault, Simple",2017-11-13 11:58:37,JKane,11-5-3,SIMPLE ASSAULT/BATTERY,2017,other_crime,Providence,41.8130184,-71.44628999999999,Silver Lake
2017-00119522,2,319 Lowell Ave,11,Disorderly Conduct,2017-11-13 11:57:38,JRodrigues,11-45-1,DISORDERLY CONDUCT,2017,other_crime,Providence,41.8185213,-71.4606505,Hartford
