casenumber,counts,location,month,offense_desc,reported_date,reporting_officer,statute_code,statute_desc,year,offense_cat,hour,minute,day,lat,lon,city,neighborhood
2017-00106790,1,Broad St At Fisk St,10,Traffic Violation,2017-10-12 11:01:00,RByfield,31-47-9,Operating a MV without Evidence of Insurance,2017,other_crime,11,1,12,41.8537599,-71.42174969999999,Providence,Charles
2017-00106789,1,937 Broad St,10,Drug Offenses,2017-10-12 10:59:00,PTesseris,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,2017,other_crime,10,59,12,41.8064297,-71.4309206,Providence,West End Providence
2017-00106789,1,937 Broad St,10,Drug Offenses,2017-10-12 10:59:00,PTesseris,21-28-4.01-C1B,POSSESSION OF MARIJUANA-1st OFFENSE,2017,other_crime,10,59,12,33.5937523,-86.6953113,Jefferson County,Birmingham
2017-00106789,1,937 Broad St,10,Drug Offenses,2017-10-12 10:59:00,PTesseris,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,2017,other_crime,10,59,12,43.125648,-77.612107,Rochester,Strong
2017-00106785,1,111 Westminster St,10,"Assault, Simple",2017-10-12 10:36:51,MCifuentes,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,other_crime,10,36,12,41.8359774,-71.448976,Providence,Mount Pleasant
2017-00106782,1,24 Meader St,10,"Fraud, Swindle",2017-10-12 10:28:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2017,other_crime,10,28,12,41.81871779999999,-71.39776189999999,Providence,Fox Point
2017-00106779,1,25 Dorrance St,10,Tresspassing,2017-10-12 10:19:39,RPiccirillo,11-44-26,WILLFUL TRESPASS,2017,property_crime,10,19,12,40.7253701,-74.2885026,Essex County,Millburn
2017-00106779,1,25 Dorrance St,10,Receiving Stolen Property,2017-10-12 10:19:39,RPiccirillo,11-41-2,RECEIVING STOLEN GOODS-MISDEMEANOR,2017,other_crime,10,19,12,41.8292789,-71.4188507,Providence,Smith Hill
2017-00106777,1,306 Thayer St,10,"Larceny, Other",2017-10-12 10:12:57,EChin,11-41-7,LARCENY FROM THE PERSON - ALL OTH LARCENY,2017,property_crime,10,12,12,41.851607,-71.41966699999999,Providence,Charles
2017-00106774,1,122 Fountain St,10,Larceny from Building,2017-10-12 10:09:00,Central Station,11-41-1,LARCENY/U $1500 - FROM BLD,2017,property_crime,10,9,12,41.8242531,-71.4169345,Providence,Downtown Providence
2017-00106773,1,44 Marlborough Ave,10,Burglary,2017-10-12 10:03:59,EKemble,11-8-1,BURGLARY,2017,property_crime,10,3,12,41.8061225,-71.45973599999999,Providence,Silver Lake
2017-00500093,1,Friendship St ,10,Vandalism,2017-10-12 09:40:08,SPartridge,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,property_crime,9,40,12,41.851276,-71.4468041,Providence,Elmhurst
2017-00106759,1,196 Dean St,10,Vandalism,2017-10-12 09:02:41,TGomes,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,property_crime,9,2,12,41.8511027,-71.42133079999999,Providence,Charles
2017-00106752,1,288 New York Ave,10,"Fraud, Swindle",2017-10-12 08:56:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2017,other_crime,8,56,12,41.818926,-71.4593979,Providence,Hartford
2017-00106754,1,283 Plainfield St,10,Burglary,2017-10-12 08:55:00,GKue,11-8-4,B&E BUS.PLACE PUBLIC BLDG  OR SHIP W/FEL. INTENT,2017,property_crime,8,55,12,41.8166427,-71.4327077,Providence,Ward 13
2017-00106718,1,94 Merino St,10,Larceny from Motor Vehicle,2017-10-12 07:03:01,JGagnon,11-41-1,LARCENY/U $1500 - FROM MV,2017,property_crime,7,3,12,41.8418764,-71.4067675,Providence,Mount Hope
2017-00106717,1,1013 Atwells Ave,10,Larceny from Motor Vehicle,2017-10-12 06:24:00,JO,11-41-1,LARCENY/O $1500 - FROM MV,2017,property_crime,6,24,12,41.8024427,-71.42073789999999,Providence County,Providence
2017-00106710,1,539 Smith St,10,"Assault, Simple",2017-10-12 03:34:00,KRichards,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,other_crime,3,34,12,37.7396699,-122.4106069,San Francisco,Bernal Heights
2017-00106682,1,205 Federal St,10,Vandalism,2017-10-12 01:11:00,MPena,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,2017,property_crime,1,11,12,41.8125925,-71.4519353,Providence,Silver Lake
2017-00106682,1,205 Federal St,10,Disorderly Conduct,2017-10-12 01:11:00,MPena,11-45-1,DISORDERLY CONDUCT,2017,other_crime,1,11,12,41.8526107,-71.42496129999999,Providence,Charles
2017-00106663,1,388 Orms St,10,Motor Vehicle Theft,2017-10-12 00:01:00,EEspinal,11-41-1,LARCENY/O $1500 - AUTO THEFT,2017,property_crime,0,1,12,41.8273894,-71.4167233,Providence,Downtown Providence
2017-00106646,1,65 Salmon St,10,"Larceny, Other",2017-10-11 23:08:00,LFerreras,11-41-7,LARCENY FROM THE PERSON - ALL OTH LARCENY,2017,property_crime,23,8,11,41.8256937,-71.4127874,Providence County,Providence
2017-00500091,1,220 Massachusetts Ave,10,"Fraud, Swindle",2017-10-11 23:05:48,CSical,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2017,other_crime,23,5,11,42.4726,-70.9356511,Essex County,Lynn
2017-00106636,1,7 Whelan Rd,10,Municipal Code Violation,2017-10-11 22:16:00,DLiu,Sec. 16-3.D,Disorderly Conduct D - Obstruct,2017,other_crime,22,16,11,41.83149299999999,-71.4010783,Providence County,Providence
2017-00106636,1,7 Whelan Rd,10,Municipal Code Violation,2017-10-11 22:16:00,DLiu,Sec. 16-3.D,Disorderly Conduct D - Obstruct,2017,other_crime,22,16,11,41.8268946,-71.446054,Providence,Mount Pleasant
2017-00106636,1,7 Whelan Rd,10,RI Statute Violation,2017-10-11 22:16:00,DLiu,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,2017,other_crime,22,16,11,41.8200542,-71.4465756,Providence,Olneyville
2017-00106636,1,7 Whelan Rd,10,Traffic Violation,2017-10-11 22:16:00,DLiu,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,other_crime,22,16,11,40.90299590000001,-74.55781080000001,Morris County,Dover
2017-00106636,1,7 Whelan Rd,10,Traffic Violation,2017-10-11 22:16:00,DLiu,31-27-2.3,Refusal to Submit to a Preliminary Breath Test,2017,other_crime,22,16,11,40.7191015,-76.1254301,Schuylkill County,New Philadelphia
2017-00106636,1,7 Whelan Rd,10,DUI,2017-10-11 22:16:00,DLiu,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),2017,other_crime,22,16,11,41.793628,-71.4089741,Providence County,Providence
2017-00106628,1,165 Angell St,10,Tresspassing,2017-10-11 21:31:00,MCastillo,11-44-26,WILLFUL TRESPASS,2017,property_crime,21,31,11,41.7948405,-71.4227238,Providence,Elmwood
