casenumber,counts,location,month,offense_desc,reported_date,reporting_officer,statute_code,statute_desc,year,offense_cat,hour,minute,day,lat,lon,city,neighborhood
2018-00034077,1,57 Babcock St,4,Motor Vehicle Theft,2018-04-06 04:39:00,BMcParlin,11-41-1,LARCENY/O $1500 - AUTO THEFT,2018,property_crime,4,39,6,,,,
2018-00034068,1,157 Webster Ave,4,Disorderly Conduct,2018-04-06 02:53:00,JPerez,11-45-1,DISORDERLY CONDUCT,2018,other_crime,2,53,6,,,,
2018-00034068,1,157 Webster Ave,4,RI Statute Violation,2018-04-06 02:53:00,JPerez,12-29-4,VIOLATION -NO CONTACT ORDER,2018,other_crime,2,53,6,,,,
2018-00034068,1,157 Webster Ave,4,"Assault, Simple",2018-04-06 02:53:00,JPerez,11-5-3,SIMPLE ASSAULT/BATTERY,2018,other_crime,2,53,6,,,,
2018-00034052,1,Puritanatanthony ,4,Drug Offenses,2018-04-06 01:35:00,MJennette,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,2018,other_crime,1,35,6,,,,
2018-00034048,1,160 Benedict St ,4,Warrant\Capias,2018-04-06 01:18:00,RFedo,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,2018,other_crime,1,18,6,,,,
2018-00034036,1,Chad Brownatpinehurst ,4,Municipal Code Violation,2018-04-06 00:41:00,SMarmas,Sec. 23-32.  ," Possession ,of alcoholic beverages on any public street, sidewalk, licensed parking lot, way or grounds owned by city.",2018,other_crime,0,41,6,,,,
2018-00034018,1,Mt Pleasant Ave At Atwells Ave,4,Larceny from Motor Vehicle,2018-04-05 23:44:14,SRomano,11-41-1,LARCENY/O $1500 - FROM MV,2018,property_crime,23,44,5,,,,
2018-00034014,1,1 Cadillac Dr,4,Warrant\Capias,2018-04-05 23:37:00,FTavares,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,2018,other_crime,23,37,5,,,,
2018-00034007,1,Point St At Chestnut St,4,Larceny from Motor Vehicle,2018-04-05 22:41:24,MDuffy,11-41-1,LARCENY/U $1500 - FROM MV,2018,property_crime,22,41,5,,,,
2018-00033981,1,186 Chapin Ave,4,RI Statute Violation,2018-04-05 20:52:00,RSilva,8-6-1,CONTEMPT-SUPERIOR COURT,2018,other_crime,20,52,5,,,,
2018-00033953,1,Barbara St At Glenbridge Ave,4,Traffic Violation,2018-04-05 19:31:00,NManfredi,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018,other_crime,19,31,5,,,,
2018-00033950,1,49 Hall St,4,Burglary,2018-04-05 19:18:00,SMarmas,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2018,property_crime,19,18,5,,,,
2018-00033934,1,61 Marshall St,4,Burglary,2018-04-05 18:02:00,BBoudreau,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2018,property_crime,18,2,5,,,,
2018-00033930,1,27 Fillmore St,4,"Assault, Simple",2018-04-05 17:49:00,KRichards,11-5-3,SIMPLE ASSAULT/BATTERY,2018,other_crime,17,49,5,,,,
2018-00033920,1,707 Douglas Ave,4,Vandalism,2018-04-05 17:17:00,DLiu,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,property_crime,17,17,5,,,,
2018-00033912,1,7 Providence Pl,4,"Larceny, Shoplifting",2018-04-05 16:54:00,MGoddard,11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,2018,property_crime,16,54,5,,,,
2018-00033912,1,7 Providence Pl,4,Vandalism,2018-04-05 16:54:00,MGoddard,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,property_crime,16,54,5,,,,
2018-00033910,1,1 N  Main St,4,Larceny from Building,2018-04-05 16:41:57,NField,11-41-1,LARCENY/O $1500 - FROM BLD,2018,property_crime,16,41,5,,,,
2018-00033900,1,28 Eames St,4,"Larceny, Other",2018-04-05 15:56:07,MGammino,11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,2018,property_crime,15,56,5,,,,
2018-00033893,3,184 Peace St,4,Drug Offenses,2018-04-05 15:51:00,SLafferty,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,2018,other_crime,15,51,5,,,,
2018-00033893,1,184 Peace St,4,Weapons,2018-04-05 15:51:00,SLafferty,11-47-3,CARRY DANG. WEAPONS/SUB WHEN IN CRIME VIOL,2018,other_crime,15,51,5,,,,
2018-00033878,1,850 Manton Ave,4,"Fraud, Swindle",2018-04-05 15:21:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2018,other_crime,15,21,5,,,,
2018-00033867,1,Exchange Terrace ,4,Warrant\Capias,2018-04-05 15:07:00,MMulligan,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,2018,other_crime,15,7,5,,,,
2018-00033867,1,Exchange Terrace ,4,Traffic Violation,2018-04-05 15:07:00,MMulligan,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018,other_crime,15,7,5,,,,
2018-00033870,1,850 Manton Ave,4,"Larceny, Shoplifting",2018-04-05 14:58:00,JSalmeron,11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,2018,property_crime,14,58,5,,,,
2018-00033846,1,482 Pleasant Valley Pkwy,4,"Assault, Simple",2018-04-05 13:35:00,JAndrade,11-5-3,SIMPLE ASSAULT/BATTERY,2018,other_crime,13,35,5,,,,
2018-00033846,1,482 Pleasant Valley Pkwy,4,RI Statute Violation,2018-04-05 13:35:00,JAndrade,11-59-3,VIOLATION OF RESTRAINING ORDER,2018,other_crime,13,35,5,,,,
2018-00033841,1,54 Whitmarsh St,4,Vandalism,2018-04-05 13:19:36,KWigginton,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,property_crime,13,19,5,,,,
2018-00033891,1,219 Manton Ave,4,Drug Offenses,2018-04-05 13:15:00,JDesmarais,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,2018,other_crime,13,15,5,,,,
2018-00033816,1,5 Croyland Ave ,4,RI Statute Violation,2018-04-05 12:15:00,TRudd,11-37.1-3,SEXUAL OFFENDER REGISTRATION REQUIRED,2018,other_crime,12,15,5,,,,
2018-00033804,1,15 Bough St,4,"Fraud, Swindle",2018-04-05 11:45:00,ITavarez,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2018,other_crime,11,45,5,,,,
2018-00033801,1,1 Dorrance St,4,"Assault, Simple",2018-04-05 11:44:00,Central Station,11-5-3,SIMPLE ASSAULT/BATTERY,2018,other_crime,11,44,5,,,,
2018-00033801,1,1 Dorrance St,4,Disorderly Conduct,2018-04-05 11:44:00,Central Station,11-45-1,DISORDERLY CONDUCT,2018,other_crime,11,44,5,,,,
2018-00033805,1,Nan,4,"Assault, Aggravated",2018-04-05 11:43:00,LFernandez,11-5-2,FELONY ASSAULT,2018,violent_crime,11,43,5,,,,
2018-00033797,1,60 Burnside St,4,Vandalism,2018-04-05 11:33:04,JDalton,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,property_crime,11,33,5,,,,
2018-00033790,1,35 Nebraska St,4,Vandalism,2018-04-05 10:53:00,Central Station,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,property_crime,10,53,5,,,,
2018-00033768,1,59 Wesleyan Ave,4,"Larceny, Other",2018-04-05 09:30:00,Central Station,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018,property_crime,9,30,5,,,,
2018-00033766,1,457 Public St,4,Motor Vehicle Theft,2018-04-05 09:15:41,JDalton,11-41-1,LARCENY/U $1500 - AUTO THEFT,2018,property_crime,9,15,5,,,,
2018-00033740,1,623 Douglas Ave,4,Traffic Violation,2018-04-05 07:56:00,AChin,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018,other_crime,7,56,5,,,,
2018-00033732,1,55 Cedar St,4,Vandalism,2018-04-05 07:17:00,IYousif,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,property_crime,7,17,5,,,,
2018-00033727,1,160 Rounds Ave ,4,Weapons,2018-04-05 07:05:00,EGreene,11-47-8-C,POSSESSION OF FA COMMIT CTRL SUB VIOL,2018,other_crime,7,5,5,,,,
2018-00033727,1,160 Rounds Ave ,4,Drug Offenses,2018-04-05 07:05:00,EGreene,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,2018,other_crime,7,5,5,,,,
2018-00033727,1,160 Rounds Ave ,4,Drug Offenses,2018-04-05 07:05:00,EGreene,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,2018,other_crime,7,5,5,,,,
2018-00033727,1,160 Rounds Ave ,4,RI Statute Violation,2018-04-05 07:05:00,EGreene,12-29-4,VIOLATION -NO CONTACT ORDER,2018,other_crime,7,5,5,,,,
2018-00033719,1,51 Empire St,4,Burglary,2018-04-05 05:50:56,ADaCruz,11-8-1.1,ATTEMPTED BREAKING AND ENTERING,2018,property_crime,5,50,5,,,,
2018-00033717,1,19 Elmwood Ave,4,Motor Vehicle Theft,2018-04-05 04:54:00,MVoyer,11-41-1,LARCENY/O $1500 - AUTO THEFT,2018,property_crime,4,54,5,,,,
2018-00033691,1,Courtland St At Gesler St,4,Warrant\Capias,2018-04-05 02:30:00,MGuerra,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,2018,other_crime,2,30,5,,,,
2018-00033684,1,454 Admiral St,4,"Assault, Simple",2018-04-05 01:48:00,MRousseau,11-5-3,SIMPLE ASSAULT/BATTERY,2018,other_crime,1,48,5,,,,
2018-00033680,1,482 Pleasant Valley Pkwy,4,"Assault, Simple",2018-04-05 01:34:00,RSavage,11-5-3,SIMPLE ASSAULT/BATTERY,2018,other_crime,1,34,5,,,,
2018-00033656,1,31 Wallace St,4,Vandalism,2018-04-05 00:36:00,LVadney,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,2018,property_crime,0,36,5,,,,
2018-00033656,1,31 Wallace St,4,"Assault, Simple",2018-04-05 00:36:00,LVadney,11-5-3,SIMPLE ASSAULT/BATTERY,2018,other_crime,0,36,5,,,,
2018-00033656,1,31 Wallace St,4,Disorderly Conduct,2018-04-05 00:36:00,LVadney,11-45-1,DISORDERLY CONDUCT,2018,other_crime,0,36,5,,,,
2018-00033625,1,Hartford Ave At 6 ,4,Vandalism,2018-04-04 22:29:00,PCaminero,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,property_crime,22,29,4,,,,
2018-00033625,1,Hartford Ave At 6 ,4,"Larceny, Other",2018-04-04 22:29:00,PCaminero,11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,2018,property_crime,22,29,4,,,,
2018-00033616,1,41 Joslin St,4,"Assault, Simple",2018-04-04 21:48:00,PCaminero,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,other_crime,21,48,4,,,,
2018-00033612,1,Messer St At Kenwood St,4,Traffic Violation,2018-04-04 21:26:00,RHeaton,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018,other_crime,21,26,4,,,,
2018-00033571,1,10 Veazie St,4,"Assault, Simple",2018-04-04 19:06:00,PHourahan,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,other_crime,19,6,4,,,,
2018-00033563,1,9 Parkis Ave,4,"Assault, Simple",2018-04-04 18:43:00,AGonzalez,11-5-3,SIMPLE ASSAULT/BATTERY,2018,other_crime,18,43,4,,,,
2018-00033563,1,9 Parkis Ave,4,Vandalism,2018-04-04 18:43:00,AGonzalez,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,2018,property_crime,18,43,4,,,,
2018-00033558,1,319 Pocasset Ave,4,Robbery,2018-04-04 18:32:00,MCamardo,11-39-1,ROBBERY-1ST DEGREE,2018,property_crime,18,32,4,,,,
2018-00033555,1,928 Eddy St,4,Vandalism,2018-04-04 18:30:00,ASchneider,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,property_crime,18,30,4,,,,
2018-00033539,1,118 Lavaughn Street ,4,RI Statute Violation,2018-04-04 17:21:00,Central Station,11-59-3,VIOLATION OF RESTRAINING ORDER,2018,other_crime,17,21,4,,,,
2018-00033525,1,337 Plain St ,4,"Assault, Simple",2018-04-04 16:37:00,JBenros,11-5-10,ASSLT ON PERSONS OVER 60 CAUSING BODILY INJURY,2018,other_crime,16,37,4,,,,
2018-00033521,2,79 Washington St,4,RI Statute Violation,2018-04-04 16:32:00,KCosta,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,2018,other_crime,16,32,4,,,,
2018-00033518,1,7 Providence Pl,4,RI Statute Violation,2018-04-04 16:11:00,GKue,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,2018,other_crime,16,11,4,,,,
2018-00033518,1,7 Providence Pl,4,Embezzelment,2018-04-04 16:11:00,GKue,11-41-20,SHOPLIFTING-MISD - EMPLOYEE,2018,other_crime,16,11,4,,,,
2018-00033517,1,529 Broad St,4,Vandalism,2018-04-04 16:09:00,RByfield,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,property_crime,16,9,4,,,,
2018-00033510,1,124 Lenox Ave,4,Vandalism,2018-04-04 16:06:00,JSmith,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,property_crime,16,6,4,,,,
2018-00033498,1,850 Manton Ave,4,Traffic Violation,2018-04-04 15:24:00,RCarlin,31-26-2,Duty to Stop in Accidents Resulting in Damage to Attended Vehicles,2018,other_crime,15,24,4,,,,
2018-00033498,2,850 Manton Ave,4,"Assault, Aggravated",2018-04-04 15:24:00,RCarlin,11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,2018,violent_crime,15,24,4,,,,
2018-00033498,1,850 Manton Ave,4,Traffic Violation,2018-04-04 15:24:00,RCarlin,31-27-4,"Reckless Driving, Drag Racing - Attempting to Elude",2018,other_crime,15,24,4,,,,
2018-00033501,1,100 Borden St,4,Motor Vehicle Theft,2018-04-04 15:22:00,ASchneider,11-41-1,LARCENY/O $1500 - AUTO THEFT,2018,property_crime,15,22,4,,,,
2018-00033522,1,124 Julian St,4,Drug Offenses,2018-04-04 15:00:00,FColon,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,2018,other_crime,15,0,4,,,,
2018-00033484,1,458 Smithfield Ave,4,Traffic Violation,2018-04-04 14:57:00,MTroia,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018,other_crime,14,57,4,,,,
2018-00033477,1,593 Eddy St,4,"Assault, Simple",2018-04-04 14:31:00,ECuri,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,other_crime,14,31,4,,,,
2018-00033461,1,601 N  Main St,4,Traffic Violation,2018-04-04 13:25:05,DHull,31-13-4,Obedience to Traffic Control Devices,2018,other_crime,13,25,4,,,,
2018-00033457,1,333 Adelaide Ave,4,Larceny from Motor Vehicle,2018-04-04 13:14:00,Central Station,11-41-1,LARCENY/U $1500 - FROM MV,2018,property_crime,13,14,4,,,,
2018-00033448,1,188 Princeton Ave,4,Municipal Code Violation,2018-04-04 12:52:00,NMorales,Sec. 16-3.A,Disorderly and indecent conduct A - Theatening,2018,other_crime,12,52,4,,,,
2018-00033447,1,7 Providence Pl,4,Larceny from Building,2018-04-04 12:42:00,MChasse,11-41-1,LARCENY/U $1500 - FROM BLD,2018,property_crime,12,42,4,,,,
2018-00033447,1,7 Providence Pl,4,Warrant\Capias,2018-04-04 12:42:00,MChasse,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,2018,other_crime,12,42,4,,,,
2018-00033427,1,7 Providence Pl,4,"Larceny, Shoplifting",2018-04-04 12:37:00,JHenderson,11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,2018,property_crime,12,37,4,,,,
2018-00033440,1,860 Elmwood Ave,4,"Fraud, Credit Card",2018-04-04 12:34:00,EFernandez,11-49-4,FRAUDULENT USE OF CREDIT CARDS,2018,other_crime,12,34,4,,,,
2018-00033436,1,468 Smith St,4,"Assault, Aggravated",2018-04-04 12:31:00,AChin,11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,2018,violent_crime,12,31,4,,,,
2018-00033449,1,333 W  River St,4,"Larceny, Shoplifting",2018-04-04 12:29:27,MTella,11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,2018,property_crime,12,29,4,,,,
2018-00033459,1,593 Eddy St,4,"Assault, Simple",2018-04-04 12:21:00,EFernandez,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,other_crime,12,21,4,,,,
2018-00033432,1,47 Hyat St,4,"Larceny, Other",2018-04-04 12:13:07,JDalton,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018,property_crime,12,13,4,,,,
2018-00033426,1,109 Brown St,4,Vandalism,2018-04-04 11:49:45,RKing,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,property_crime,11,49,4,,,,
2018-00033421,1,N  Main St At White St,4,Traffic Violation,2018-04-04 11:33:20,DHull,31-13-4,Obedience to Traffic Control Devices,2018,other_crime,11,33,4,,,,
2018-00033414,1,55 Bowdoin St,4,"Fraud, Swindle",2018-04-04 11:10:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2018,other_crime,11,10,4,,,,
2018-00033404,1,47 Langdon St,4,RI Statute Violation,2018-04-04 10:28:00,Central Station,15-15-3,VIOLATION OF PROTECTIVE ORDER,2018,other_crime,10,28,4,,,,
2018-00033401,1,N Main St  ,4,Larceny from Motor Vehicle,2018-04-04 10:26:00,Central Station,11-41-1,LARCENY/U $1500 - FROM MV,2018,property_crime,10,26,4,,,,
2018-00033394,1,71 Warrington St,4,"Fraud, Swindle",2018-04-04 09:43:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2018,other_crime,9,43,4,,,,
2018-00033386,1,325 Washington St,4,RI Statute Violation,2018-04-04 09:19:00,TRudd,11-37.1-3,SEXUAL OFFENDER REGISTRATION REQUIRED,2018,other_crime,9,19,4,,,,
2018-00033385,1,601 Main St ,4,Traffic Violation,2018-04-04 09:10:49,DHull,31-13-4,Obedience to Traffic Control Devices,2018,other_crime,9,10,4,,,,
2018-00033382,1,Broad St At W Friendship St,4,Weapons,2018-04-04 09:02:00,ECuri,11-47-42,WEAPONS OTHER THAN FIREARMS PROHIBITED,2018,other_crime,9,2,4,,,,
2018-00033374,1,107 Sorrento St,4,Motor Vehicle Theft,2018-04-04 08:28:25,TGomes,11-41-1,LARCENY/O $1500 - AUTO THEFT,2018,property_crime,8,28,4,,,,
2018-00033371,1,11 Dorrance St,4,Larceny from Motor Vehicle,2018-04-04 08:14:00,RChin,11-41-1,LARCENY/O $1500 - FROM MV,2018,property_crime,8,14,4,,,,
2018-00033373,1,40 Russo St,4,Motor Vehicle Theft,2018-04-04 08:14:00,AChin,11-41-1,LARCENY/O $1500 - AUTO THEFT,2018,property_crime,8,14,4,,,,
2018-00033372,1,141 General St,4,"Assault, Aggravated",2018-04-04 08:13:00,CRodriguez,11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,2018,violent_crime,8,13,4,,,,
2018-00033341,1,Broad St At Montgomery Ave,4,Drug Offenses,2018-04-04 03:02:00,JDennis,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,2018,other_crime,3,2,4,,,,
2018-00033331,1,181 Atwells Ave,4,"Assault, Simple",2018-04-04 01:38:00,MGuerra,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,other_crime,1,38,4,,,,
2018-00033330,1,52 Calla St,4,"Assault, Simple",2018-04-04 01:30:00,JDennis,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,other_crime,1,30,4,,,,
2018-00033306,1,Manton Ave At Amherst St,4,"Assault, Simple",2018-04-04 00:09:00,MFadale,11-5-5,ASSAULT OF POLICE OFFICERS AND OTHER OFFICIALS - MINOR INJURY,2018,other_crime,0,9,4,,,,
2018-00033306,1,Manton Ave At Amherst St,4,RI Statute Violation,2018-04-04 00:09:00,MFadale,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,2018,other_crime,0,9,4,,,,
2018-00033306,1,Manton Ave At Amherst St,4,RI Statute Violation,2018-04-04 00:09:00,MFadale,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,2018,other_crime,0,9,4,,,,
2018-00033306,1,Manton Ave At Amherst St,4,Disorderly Conduct,2018-04-04 00:09:00,MFadale,11-45-1,DISORDERLY CONDUCT,2018,other_crime,0,9,4,,,,
2018-00033303,1,Federal St At Barclay St,4,Larceny from Motor Vehicle,2018-04-03 23:55:00,MGuerra,11-41-1,LARCENY/U $1500 - FROM MV,2018,property_crime,23,55,3,,,,
2018-00033298,1,Harris Ave At Eagle St,4,Traffic Violation,2018-04-03 23:39:00,RHeaton,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018,other_crime,23,39,3,,,,
2018-00033298,1,Harris Ave At Eagle St,4,DUI,2018-04-03 23:39:00,RHeaton,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),2018,other_crime,23,39,3,,,,
2018-00033292,1,234 Washington St,4,Larceny from Motor Vehicle,2018-04-03 23:13:50,ADaCruz,11-41-1,LARCENY/O $1500 - FROM MV,2018,property_crime,23,13,3,,,,
2018-00500410,1,62 Meeting St,4,"Fraud, Credit Card",2018-04-03 22:24:50,TPickering,11-49-4,FRAUDULENT USE OF CREDIT CARDS,2018,other_crime,22,24,3,,,,
2018-00033260,1,649 Admiral St,4,Motor Vehicle Theft,2018-04-03 20:55:34,SSage,11-41-1,LARCENY/O $1500 - AUTO THEFT,2018,property_crime,20,55,3,,,,
2018-00033254,1,17 Middleton St,4,"Assault, Simple",2018-04-03 20:40:00,DHernandez,11-5-3,SIMPLE ASSAULT/BATTERY,2018,other_crime,20,40,3,,,,
2018-00033217,1,180 Westminster St,4,Tresspassing,2018-04-03 18:25:12,GMorgan,11-44-26,WILLFUL TRESPASS,2018,property_crime,18,25,3,,,,
2018-00033197,1,1336 Eddy St,4,RI Statute Violation,2018-04-03 17:28:00,SIm,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,2018,other_crime,17,28,3,,,,
2018-00033197,2,1336 Eddy St,4,"Assault, Simple",2018-04-03 17:28:00,SIm,11-5-5,ASSAULT OF POLICE OFFICERS AND OTHER OFFICIALS - MINOR INJURY,2018,other_crime,17,28,3,,,,
2018-00033197,1,1336 Eddy St,4,Disorderly Conduct,2018-04-03 17:28:00,SIm,11-45-1,DISORDERLY CONDUCT,2018,other_crime,17,28,3,,,,
2018-00033197,1,1336 Eddy St,4,RI Statute Violation,2018-04-03 17:28:00,SIm,20-1-8,FAILURE TO MOVE/STOP ON ORAL COMMAND,2018,other_crime,17,28,3,,,,
2018-00500412,1,Providence St ,4,RI Statute Violation,2018-04-03 17:22:12,TPickering,11-35-17,CRANK OR OBSCENE PHONE CALLS - ALL OTH OFFENSE,2018,other_crime,17,22,3,,,,
2018-00033160,1,278 Thurbers Ave,4,"Assault, Simple",2018-04-03 14:59:00,JBenros,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,other_crime,14,59,3,,,,
2018-00033149,1,101 Whitmarsh St,4,"Larceny, Other",2018-04-03 14:41:00,Central Station,11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,2018,property_crime,14,41,3,,,,
2018-00033155,1,152 Springfield St,4,Pornography,2018-04-03 14:31:00,DHernandez,11-9-1.3,CHILD PORNOGRAPHY PROHIBITED,2018,other_crime,14,31,3,,,,
2018-00033147,1,222 Daboll St,4,"Larceny, Other",2018-04-03 14:22:00,MMaycock,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018,property_crime,14,22,3,,,,
2018-00033146,1,196 Burnside St,4,Larceny from Motor Vehicle,2018-04-03 14:14:00,ECuri,11-41-1,LARCENY/U $1500 - FROM MV,2018,property_crime,14,14,3,,,,
2018-00033108,1,1119 N Main St,4,RI Statute Violation,2018-04-03 12:20:45,DHull,11-35-14,REFUSE/RELINQUISH TELEPHONE - W/O DMG,2018,other_crime,12,20,3,,,,
2018-00033108,1,1119 N Main St,4,RI Statute Violation,2018-04-03 12:20:45,DHull,15-15-3,VIOLATION OF PROTECTIVE ORDER,2018,other_crime,12,20,3,,,,
2018-00033098,1,79 Eagle St,4,"Fraud, Swindle",2018-04-03 11:57:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2018,other_crime,11,57,3,,,,
2018-00033100,1,182 Thurbers Ave,4,"Assault, Simple",2018-04-03 11:55:00,KPea,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,other_crime,11,55,3,,,,
2018-00033092,1,134 Atwells Ave,4,Vandalism,2018-04-03 11:36:00,DSchiavulli,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,property_crime,11,36,3,,,,
2018-00033092,1,134 Atwells Ave,4,RI Statute Violation,2018-04-03 11:36:00,DSchiavulli,21-27-8,OBSTRUCTION OF ENTRY TO PREMISES,2018,other_crime,11,36,3,,,,
2018-00033086,1,325 Washington St,4,"Fraud, Swindle",2018-04-03 11:19:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2018,other_crime,11,19,3,,,,
2018-00033080,1,235 Angell St,4,Burglary,2018-04-03 10:54:07,BCorcoran,11-8-1,BURGLARY,2018,property_crime,10,54,3,,,,
2018-00033074,1,406 Pine St,4,Burglary,2018-04-03 10:27:00,CKennedy,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2018,property_crime,10,27,3,,,,
2018-00033068,1,960 Broad St,4,"Assault, Simple",2018-04-03 10:13:00,Central Station,11-5-3,SIMPLE ASSAULT/BATTERY,2018,other_crime,10,13,3,,,,
2018-00032995,1,191 Carleton St,4,Robbery,2018-04-03 01:38:00,MLuke,11-39-1,ROBBERY-1ST DEGREE,2018,property_crime,1,38,3,,,,
2018-00032995,1,191 Carleton St,4,RI Statute Violation,2018-04-03 01:38:00,MLuke,11-1-6,CONSPIRACY - ALL OTH OFFENSE,2018,other_crime,1,38,3,,,,
2018-00032995,1,191 Carleton St,4,RI Statute Violation,2018-04-03 01:38:00,MLuke,11-1-4,HARBORING CRIMINAL,2018,other_crime,1,38,3,,,,
2018-00032994,1,576 Public St,4,"Assault, Simple",2018-04-03 01:31:00,LFerreras,11-5-3,SIMPLE ASSAULT/BATTERY,2018,other_crime,1,31,3,,,,
2018-00032987,1,105 Vandewater St,4,Burglary,2018-04-03 01:11:00,RMalloy,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2018,property_crime,1,11,3,,,,
2018-00032984,1,169 Bay St,4,Drug Offenses,2018-04-03 00:56:00,MPena,21-28-4.01-C2-(iii),POSSESSION OF MARIJUANA 1OZ OR LESS OVER 18 YEARS OF AGE,2018,other_crime,0,56,3,,,,
2018-00032980,1,Admiral St At Suffolk St,4,Traffic Violation,2018-04-03 00:38:00,SCampbell,31-3-1,Operation of Unregistered Vehicle,2018,other_crime,0,38,3,,,,
2018-00032961,1,11 Waverly St,4,"Assault, Simple",2018-04-02 23:14:00,MRudolph,11-5-3,SIMPLE ASSAULT/BATTERY,2018,other_crime,23,14,2,,,,
2018-00032966,1,W  Fountain St At Winter St,4,Larceny from Motor Vehicle,2018-04-02 23:11:00,MGuerra,11-41-1,LARCENY/O $1500 - FROM MV,2018,property_crime,23,11,2,,,,
2018-00032957,1,70 Progress Ave,4,Robbery,2018-04-02 22:52:00,MPlace,11-39-1,ROBBERY-1ST DEGREE,2018,property_crime,22,52,2,,,,
2018-00032957,1,70 Progress Ave,4,"Assault, Aggravated",2018-04-02 22:52:00,MPlace,11-5-2.1,FELONY ASSAULT/USE DEVICE SIMILAR TO FIREARM,2018,violent_crime,22,52,2,,,,
