LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-71.5035656,41.7431117,12,HICKORY DR,,CRANSTON,,,,65464,a6d5ee59b959e89b
-71.5068433,41.7438571,1710,PHENIX AV,,CRANSTON,,,,65480,257e1e7909968a27
-71.5047016,41.743048,25,OAK VIEW DR,,CRANSTON,,,,65482,a992e05b30032da0
-71.3956809,41.7849386,212,SMITH ST,,CRANSTON,,,,65491,cd4cf955b9d45255
-71.4009737,41.7844109,373,BAY VIEW AV,,CRANSTON,,,,65505,e8eb4b6c8bd20e07
-71.3988355,41.7785841,179,NORWOOD AVE,,CRANSTON,,,,65523,0d21465d32a9d553
-71.3984823,41.7786492,171,NORWOOD AVE,,CRANSTON,,,,65525,adfc7113f7253d14
-71.453578,41.7973434,26,CLIFF AV,,CRANSTON,,,,63849,5e21b1f00b4e4388
-71.4571985,41.7951256,640,DYER AV,,CRANSTON,,,,63836,0101b851bbf1c0b5
-71.4550167,41.7968349,57,LOOKOUT AV,,CRANSTON,,,,63845,ed16fb5ee00b054e
-71.4541374,41.7971284,37,OLD OAK AV,,CRANSTON,,,,63850,6f36754174a9e8d6
-71.4534951,41.796972,23,OLD OAK AV,,CRANSTON,,,,63852,a2a28a237ffef404
-71.4540243,41.8016907,126,BRACKEN ST,,CRANSTON,,,,63874,2205a01128d50157
-71.4513766,41.7993443,23,LAWRENCE ST,,CRANSTON,,,,63889,f306d4bfc1be3b6c
-71.4555486,41.7995674,322,PRINCESS AV,,CRANSTON,,,,63891,7dc13f0fdc104841
-71.4528826,41.7997047,106,GLADSTONE ST,,CRANSTON,,,,63884,179be25ce9f32078
-71.4300108,41.7780222,727,PARK AV,,CRANSTON,,,,63941,01f1ef8650fda011
-71.430219,41.7760072,181,MAGNOLIA ST,,CRANSTON,,,,63955,b18ef773b6a1cdd2
-71.4286249,41.7804506,51,MAGNOLIA ST,,CRANSTON,,,,63957,b222c59732fb9bdf
-71.4354851,41.7747974,105,POTTER ST,,CRANSTON,,,,63989,975e5872d15939f2
-71.4345649,41.7774426,35,POTTER ST,,CRANSTON,,,,63991,89b11b0be3ea5d58
-71.4314275,41.7766742,172,ORCHARD ST,,CRANSTON,,,,64006,9e2b72e19f447935
-71.446188,41.8025192,409,WEBSTER AV,,CRANSTON,,,,64022,cd05107edb60ab46
-71.4557955,41.8043487,21,MICA AV,,CRANSTON,,,,64041,23277deed5739a4d
-71.4577472,41.8002235,492,DYER AV,,CRANSTON,,,,63895,07bc2de959fa5613
-71.4567973,41.7998747,184,GLADSTONE ST,,CRANSTON,,,,63927,96c9648602b81297
-71.4302652,41.7757184,189,MAGNOLIA ST,,CRANSTON,,,,63954,3b9deb54b44b1313
-71.4308077,41.7768604,161,GREENWOOD ST,,CRANSTON,,,,63961,a0402be7e9161191
-71.4522362,41.7967307,606,LAUREL HILL AV,,CRANSTON,,,,63864,27202830ca04b948
-71.453698,41.8021331,112,DUNEDIN ST,,CRANSTON,,,,63880,66b57bdbe16bceec
-71.42761,41.7777327,675,PARK AV,,CRANSTON,,,,63949,4434c4838d4c3191
-71.4327326,41.7742556,245,ORCHARD ST,,CRANSTON,,,,63964,aaa79f44429c72a0
-71.4324942,41.7749048,225,ORCHARD ST,,CRANSTON,,,,63965,2f10b5f5d7d7420a
-71.4306902,41.7734002,260,MAGNOLIA ST,,CRANSTON,,,,63966,c43fb252a7497ba5
-71.4328394,41.7765443,165,GARDEN ST,,CRANSTON,,,,63983,08ae0862b1610bfe
-71.4294722,41.7805234,113,BECKWITH ST,,CRANSTON,,,,63997,b9c1d9929d228b13
-71.4309163,41.7754131,206,GREENWOOD ST,,CRANSTON,,,,63999,624ce5c6e3a3765a
-71.4467222,41.801583,74,WHIPPLE AV,,CRANSTON,,,,64016,f329af44b805e5c4
-71.4469689,41.8016948,80,WHIPPLE AV,,CRANSTON,,,,64017,08100ea53707da19
-71.43501,41.7735925,225,GRACE ST,,CRANSTON,,,,63986,6afa261aeb6db8ab
-71.4318937,41.7726444,288,GREENWOOD ST,,CRANSTON,,,,64002,54aa51f301467081
-71.4330827,41.7748261,218,GARDEN ST,,CRANSTON,,,,64009,6655b40077f88279
-71.4335403,41.7734126,260,GARDEN ST,,CRANSTON,,,,64011,bb0f0d0adfc3f3b5
-71.4501575,41.8023163,14,BROWNE ST,,CRANSTON,,,,64020,7287fdc4406d06aa
-71.4325315,41.7803229,25,GRACE ST,,CRANSTON,,,,64067,6bd4d7137b78aa86
-71.4274938,41.7807224,35,WOODBINE ST,,CRANSTON,,,,64072,57d0831f1e41262e
-71.4273989,41.77835,95,N CLARENDON ST,,CRANSTON,,,,64075,bf09e7d2cf57e653
-71.4345601,41.7818335,113,JULIA ST,,CRANSTON,,,,64108,6bab17e0362a54bc
-71.4344699,41.7818984,105,JULIA ST,,CRANSTON,,,,64109,2c521e86a93de7f0
-71.4299923,41.7816976,19,ORCHARD ST,,CRANSTON,,,,64083,623f1fbd5cb40a59
-71.4356437,41.7734094,140,POTTER ST,,CRANSTON,,,,64117,1dbb56d291beda9c
-71.4331791,41.7773301,112,GRACE ST,,CRANSTON,,,,64061,fee42a94d47d0a2a
-71.433024,41.7790535,61,GRACE ST,,CRANSTON,,,,64063,cc04ac06f80aeea2
-71.4316462,41.7797364,71,GARDEN ST,,CRANSTON,,,,64068,aa9e3da2f57bdcd8
-71.4536542,41.7969898,25,OLD OAK AV,,CRANSTON,,,,63851,c719c41b1217b7f0
-71.4531942,41.796915,15,OLD OAK AV,,CRANSTON,,,,63853,8481032788b82f6b
-71.4523933,41.8000885,519,LAUREL HILL AV,,CRANSTON,,,,63867,1c0cdf8df351fb73
-71.4579052,41.8054994,341,DYER AV,,CRANSTON,,,,64172,dc85e8b0d736a3c9
-71.4499674,41.8058335,129,TERRACE AV,,CRANSTON,,,,64190,0ff930244753fe24
